Gene    Alligator_mississippiensis    Anolis_carolinensis    Anolis_sagrei    Arizona_elegans    Aspidocelis_tigris    Aspidoscelis_marmoratus    Azemiops_feae    Boaedon_fuliginosus    Bothrops_jararaca    Bungarus_multicintus    Caretta_caretta    Charina_bottae    Crotalus_tigris    Cryptoblepharus_egeriae    Ctenosaura_bakeri    Cyclura_pinguis    Daboia_siamensis    Diadophis_punctatus    Elgaria_multicarinata    Eublepharis_macularius    Gekko_japonicus    Hemicordylus_capensis    Iguana_delicatissima    Imantodes_cenchoa    Lacerta_agilis    Lacerta_bilineata    Lacerta_viridis    Laticauda_colubrina    Lepidodactylus_listeri    Lerista_edwardsae    Morelia_viridis    Myanophis_thanlyinensis    Naja_naja    Ophiophagus_hannah    Pantherophis_guttatus    Paroedura_picta    Phrynocephalus_versicolor    Phrynosoma_blainvillii    Phrynosoma_platyrhinos    Pituophis_catenifer    Plestiodon_gilberti    Podarcis_muralis    Podarcis_raffonei    Pogona_vitticeps    Protobothrops_mucrosquamatus    Ptyas_mucosa    Python_bivittatus    Salvator_merianae    Sceloporus_occidentalis    Sceloporus_tristichus    Shinisaurus_crocodilurus    Sphaerodactylus_townsendi    Sphenodon_punctatus    Thamnophis_elegans    Thermophis_baileyi    Varanus_komodoensis    Varanus_salvator    Vipera_latastei    Zootoca_vivipara
COX10.fasta    1    1    1    1    0    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX11.fasta    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX15.fasta    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1
COX17.fasta    1    1    1    1    0    1    1    0    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    0    1    1    1    0    0    0    1    1    1    0    0    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    0    1    1    1    1
COX4.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX5A.fasta    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX5B.fasta    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX6A.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX6B.fasta    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    0    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1
COX6C.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1
COX7A.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX7B.fasta    1    0    0    1    1    1    1    0    1    0    1    1    1    1    0    0    1    0    1    1    1    1    0    0    1    1    1    0    1    1    1    0    0    0    1    1    0    0    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1
COX7C.fasta    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    1    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    0    1    1    1    1
COX8.fasta    1    1    1    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
CYC1.fasta    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUF4.fasta    0    1    1    1    0    1    1    0    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    0    1    1    1    1    0    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    0    1    1
NDUFA10.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFA11.fasta    1    0    0    1    0    0    1    0    1    1    1    1    1    1    0    0    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    0    1    1    1    1    0    0    0    1    1    1    1    1    1    1    1    0    0    0    1    1    0    1    1    1    1    1    1
NDUFA12.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1
NDUFA13.fasta    1    0    0    1    1    1    1    0    1    1    0    1    1    1    0    0    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFA1.fasta    1    1    1    0    1    1    0    0    0    0    1    1    0    1    1    1    0    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    0    0    0    0    0    0    1    0    1    1    1    1    0    0    1    1    0    1    1    1    0    0    0    1    1    0    1
NDUFA2.fasta    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    0    1    1    1    1
NDUFA3.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFA5.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1
NDUFA6.fasta    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1
NDUFA7.fasta    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1
NDUFA8.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFA9.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFAB1.fasta    1    1    1    1    1    1    1    0    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    0    1    0    0    1    1    1    1    0    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    1    1    1    1    1
NDUFB10.fasta    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1
NDUFB11.fasta    1    1    1    1    0    1    0    0    0    1    1    1    0    1    1    1    0    1    1    1    1    1    0    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1
NDUFB1.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    0    0    0    0    1    1    0    0    0    1    1    1    0    1    1    1    1    1    0    0    0    1    0    1    0    1    1    1    1
NDUFB2.fasta    1    0    0    1    1    1    1    0    1    1    1    1    1    1    0    0    1    1    1    1    1    1    0    0    1    1    1    1    1    0    1    0    1    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1
NDUFB3.fasta    0    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFB4.fasta    1    1    1    1    0    1    1    0    0    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFB5.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1
NDUFB6.fasta    1    1    1    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFB7.fasta    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1
NDUFB8.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    0    1    1    0    0    1    1
NDUFB9.fasta    0    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    0    0    1    1    1    1    0    1    1    1    0    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    0    0    0    1    1
NDUFC1.fasta    1    1    1    1    1    1    0    1    0    1    0    1    0    0    1    1    0    1    0    0    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    0    1    1    1    1    0    0    1    1    1    1    1    0    0    0    1    1    0    0    0    1
NDUFC2.fasta    1    1    1    1    0    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1
NDUFS1.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS2.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS3.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS4.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS5.fasta    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS6.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS7.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS8.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1
NDUFV1.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFV2.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFV3.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
QCR10.fasta    1    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    0    1    0    0    1    0    0    1    1    1    0    0    1    0    0    0    0    1    0    0    0    0    0    1    1    1    1    0    0    0    0    0    0    1    1    0    0    0    1    1    0    1
QCR1.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
QCR2.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1
QCR6.fasta    1    1    1    1    0    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1
QCR7.fasta    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
QCR8.fasta    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
QCR9.fasta    1    1    1    0    0    0    1    0    0    0    1    1    1    1    1    1    1    0    0    1    1    1    1    0    1    1    1    0    1    0    1    0    0    0    1    1    0    1    1    0    1    1    1    1    1    0    1    0    0    0    1    1    1    1    1    1    1    1    1
SDH3.fasta    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
SDH4.fasta    1    0    0    1    0    0    1    1    1    1    0    1    1    0    0    0    1    1    0    1    1    0    0    1    0    0    0    1    1    0    1    1    1    0    1    1    1    0    0    1    0    0    0    1    1    1    1    0    0    0    1    0    1    1    1    1    1    1    0
SDHA.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
SDHB.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
UQCRFS1.fasta    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
