Gene    Alligator_mississippiensis    Anolis_carolinensis    Anolis_sagrei    Arizona_elegans    Aspidocelis_marmoratus    Aspidocelis_tigris    Azemiops_feae    Boaedon_fuliginosus    Bothrops_jararaca    Bungarus_multicintus    Caretta_caretta    Charina_bottae    Crotalus_tigris    Cryptoblepharus_egeriae    Ctenosaura_bakeri    Cyclura_pinguis    Daboia_siamensis    Diadophis_punctatus    Elgaria_multicarinata    Eublepharis_macularius    Gekko_japonicus    Hemicordylus_capensis    Iguana_delicatissima    Imantodes_cenchoa    Lacerta_agilis    Lacerta_bilineata    Lacerta_viridis    Laticauda_colubrina    Lepidodactylus_listeri    Lerista_edwardsae    Morelia_viridis    Myanophis_thanlyinensis    Naja_naja    Ophiophagus_hannah    Pantherophis_guttatus    Paroedura_picta    Phrynocephalus_versicolor    Phrynosoma_blainvillii    Phrynosoma_platyrhinos    Pituophis_catenifer    Plestiodon_gilberti    Podarcis_muralis    Podarcis_raffonei    Pogona_vitticeps    Protobothrops_mucrosquamatus    Ptyas_mucosa    Salvator_merianae    Sceloporus_occidentalis    Sceloporus_tristichus    Shinisaurus_crocodilurus    Sphaerodactylus_townsendi    Sphenodon_punctatus    Thamnophis_elegans    Thermophis_baileyi    Varanus_komodoensis    Varanus_salvator    Vipera_latastei    Zootoca_vivipara
ATP6V1H    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX10    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX11    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX15    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1
COX17    1    1    1    1    1    0    1    0    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    0    1    1    1    0    0    0    1    1    1    0    0    1    1    1    1    1    1    1    1    0    0    1    1    1    1    0    1    1    1    1
COX4    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX5A    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX5B    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX6A    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX6B    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    0    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1
COX6C    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1
COX7A    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
COX7B    1    0    0    1    1    1    1    0    1    0    1    1    1    1    0    0    1    0    1    1    1    1    0    0    1    1    1    0    1    1    1    0    0    0    1    1    0    0    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    0    1    1    1    1
COX7C    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    1    1    1    1    0    0    0    1    1    1    1    1    1    1    1    0    0    1    1    1    1    0    1    1    1    1
COX8    1    1    1    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
CYC1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUF4    0    1    1    1    1    0    1    0    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    0    1    1    1    1    0    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    0    1    1
NDUFA10    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFA11    1    0    0    1    0    0    1    0    1    1    1    1    1    1    0    0    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    0    1    1    1    1    0    0    0    1    1    1    1    1    1    1    0    0    0    1    1    0    1    1    1    1    1    1
NDUFA12    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1
NDUFA13    1    0    0    1    1    1    1    0    1    1    0    1    1    1    0    0    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFA1    1    1    1    0    1    1    0    0    0    0    1    1    0    1    1    1    0    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    0    0    0    0    0    0    1    0    1    1    1    1    0    0    1    0    1    1    1    0    0    0    1    1    0    1
NDUFA2    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    0    1    1    1    1
NDUFA3    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFA5    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1
NDUFA6    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1
NDUFA7    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1
NDUFA8    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFA9    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFAB1    1    1    1    1    1    1    1    0    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    0    1    0    0    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFB10    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1
NDUFB11    1    1    1    1    1    0    0    0    0    1    1    1    0    1    1    1    0    1    1    1    1    1    0    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1
NDUFB1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    0    0    0    0    1    1    0    0    0    1    1    1    0    1    1    1    1    0    0    0    1    0    1    0    1    1    1    1
NDUFB2    1    0    0    1    1    1    1    0    1    1    1    1    1    1    0    0    1    1    1    1    1    1    0    0    1    1    1    1    1    0    1    0    1    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1
NDUFB3    0    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFB4    1    1    1    1    1    0    1    0    0    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFB5    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1
NDUFB6    1    1    1    1    1    0    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFB7    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1
NDUFB8    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    0    1    1    0    0    1    1
NDUFB9    0    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    0    0    1    1    1    1    0    1    1    1    0    1    1    1    0    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    0    0    0    1    1
NDUFC1    1    1    1    1    1    1    0    1    0    1    0    1    0    0    1    1    0    1    0    0    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    0    1    1    1    1    0    0    1    1    1    1    0    0    0    1    1    0    0    0    1
NDUFC2    1    1    1    1    1    0    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    0    1    1    1    0    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1
NDUFS1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS3    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS4    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS5    1    1    1    1    1    1    1    1    0    1    1    1    1    0    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS6    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    0    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS7    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFS8    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1
NDUFV1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFV2    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
NDUFV3    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
QCR10    1    0    0    0    0    0    0    0    0    0    1    0    0    1    0    0    0    0    1    0    0    1    0    0    1    1    1    0    0    1    0    0    0    0    1    0    0    0    0    0    1    1    1    1    0    0    0    0    0    1    1    0    0    0    1    1    0    1
QCR1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
QCR2    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1
QCR6    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
QCR7    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
QCR8    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
QCR9    1    1    1    0    0    0    1    0    0    0    1    1    1    1    1    1    1    0    0    1    1    1    1    0    1    1    1    0    1    0    1    0    0    0    1    1    0    1    1    0    1    1    1    1    1    0    0    0    0    1    1    1    1    1    1    1    1    1
SDH3    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    0    1    1    1    0    1    1    1    0    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
SDH4    1    0    0    1    0    0    1    1    1    1    0    1    1    0    0    0    1    1    0    1    1    0    0    1    0    0    0    1    1    0    1    1    1    0    1    1    1    0    0    1    0    0    0    1    1    1    0    0    0    1    0    1    1    1    1    1    1    0
SDHA    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    0    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
SDHB    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
UQCRFS1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
